Open,High,Low,Close,Adj Close,Volume
58117.68359375,58117.68359375,58117.68359375,58117.68359375,58117.68359375,0
58051.28125,58051.28125,58051.28125,58051.28125,58051.28125,0
58030.3203125,58030.3203125,58030.3203125,58030.3203125,58030.3203125,0
58010.765625,58010.765625,58010.765625,58010.765625,58010.765625,9932800
57990.046875,57990.046875,57990.046875,57990.046875,57990.046875,8024064
58044.21875,58044.21875,58044.21875,58044.21875,58044.21875,14811136
58102.4296875,58102.4296875,58102.4296875,58102.4296875,58102.4296875,31735808
58121.265625,58121.265625,58121.265625,58121.265625,58121.265625,31612928
58114.37890625,58114.37890625,58114.37890625,58114.37890625,58114.37890625,118956032
58150.16796875,58150.16796875,58150.16796875,58150.16796875,58150.16796875,0
58160.265625,58160.265625,58160.265625,58160.265625,58160.265625,22315008
58139.94140625,58139.94140625,58139.94140625,58139.94140625,58139.94140625,9691136
58146.05859375,58146.05859375,58146.05859375,58146.05859375,58146.05859375,0
58139.296875,58139.296875,58139.296875,58139.296875,58139.296875,10620928
58149.21484375,58149.21484375,58149.21484375,58149.21484375,58149.21484375,7028736
58153.87109375,58153.87109375,58153.87109375,58153.87109375,58153.87109375,7135232
58180.9453125,58180.9453125,58180.9453125,58180.9453125,58180.9453125,767377408
58225.18359375,58225.18359375,58225.18359375,58225.18359375,58225.18359375,21889024
58224.34765625,58224.34765625,58224.34765625,58224.34765625,58224.34765625,987136
58214.4921875,58214.4921875,58214.4921875,58214.4921875,58214.4921875,8859648
58210.48828125,58210.48828125,58210.48828125,58210.48828125,58210.48828125,0
58199.0234375,58199.0234375,58199.0234375,58199.0234375,58199.0234375,33538048
58189.015625,58189.015625,58189.015625,58189.015625,58189.015625,0
58183.8671875,58183.8671875,58183.8671875,58183.8671875,58183.8671875,0
58163.75,58163.75,58163.75,58163.75,58163.75,7749632
58172.7890625,58172.7890625,58172.7890625,58172.7890625,58172.7890625,0
58169.3515625,58169.3515625,58169.3515625,58169.3515625,58169.3515625,0
58161.83984375,58161.83984375,58161.83984375,58161.83984375,58161.83984375,14934016
58134.23828125,58134.23828125,58134.23828125,58134.23828125,58134.23828125,33918976
58079.515625,58079.515625,58079.515625,58079.515625,58079.515625,0
57861.38671875,57861.38671875,57861.38671875,57861.38671875,57861.38671875,38600704
57820.60546875,57820.60546875,57820.60546875,57820.60546875,57820.60546875,0
57803.328125,57803.328125,57803.328125,57803.328125,57803.328125,0
57747.08203125,57747.08203125,57747.08203125,57747.08203125,57747.08203125,97087488
57674.76953125,57674.76953125,57674.76953125,57674.76953125,57674.76953125,10567680
57664.88671875,57664.88671875,57664.88671875,57664.88671875,57664.88671875,147742720
57654.640625,57654.640625,57654.640625,57654.640625,57654.640625,10985472
57669.24609375,57669.24609375,57669.24609375,57669.24609375,57669.24609375,7368704
57702.01171875,57702.01171875,57702.01171875,57702.01171875,57702.01171875,39636992
57711.0,57711.0,57711.0,57711.0,57711.0,7254016
57707.05859375,57707.05859375,57707.05859375,57707.05859375,57707.05859375,13062144
57739.25390625,57739.25390625,57739.25390625,57739.25390625,57739.25390625,73236480
57686.0859375,57686.0859375,57686.0859375,57686.0859375,57686.0859375,10027008
57683.57421875,57683.57421875,57683.57421875,57683.57421875,57683.57421875,0
57658.90234375,57658.90234375,57658.90234375,57658.90234375,57658.90234375,65167360
57615.9921875,57615.9921875,57615.9921875,57615.9921875,57615.9921875,0
57609.16796875,57609.16796875,57609.16796875,57609.16796875,57609.16796875,0
57642.97265625,57642.97265625,57642.97265625,57642.97265625,57642.97265625,91836416
57639.63671875,57639.63671875,57639.63671875,57639.63671875,57639.63671875,4083712
57624.22265625,57624.22265625,57624.22265625,57624.22265625,57624.22265625,40116224
57603.890625,57603.890625,57603.890625,57603.890625,57603.890625,0
57604.83984375,57604.83984375,57604.83984375,57604.83984375,57604.83984375,0
57556.16015625,57556.16015625,57556.16015625,57556.16015625,57556.16015625,0
57521.12890625,57521.12890625,57521.12890625,57521.12890625,57521.12890625,22425600
57450.02734375,57450.02734375,57450.02734375,57450.02734375,57450.02734375,42389504
57360.66015625,57360.66015625,57360.66015625,57360.66015625,57360.66015625,49418240
57264.2421875,57264.2421875,57264.2421875,57264.2421875,57264.2421875,3350528
57266.88671875,57266.88671875,57266.88671875,57266.88671875,57266.88671875,0
57259.0703125,57259.0703125,57259.0703125,57259.0703125,57259.0703125,153915392
57363.734375,57363.734375,57363.734375,57363.734375,57363.734375,37543936
57379.64453125,57379.64453125,57379.64453125,57379.64453125,57379.64453125,43192320
57323.14453125,57323.14453125,57323.14453125,57323.14453125,57323.14453125,107646976
57396.734375,57396.734375,57396.734375,57396.734375,57396.734375,0
57408.1875,57408.1875,57408.1875,57408.1875,57408.1875,43020288
57430.66796875,57430.66796875,57430.66796875,57430.66796875,57430.66796875,47374336
57471.55078125,57471.55078125,57471.55078125,57471.55078125,57471.55078125,5431296
57461.140625,57461.140625,57461.140625,57461.140625,57461.140625,27795456
57457.97265625,57457.97265625,57457.97265625,57457.97265625,57457.97265625,0
57413.00390625,57413.00390625,57413.00390625,57413.00390625,57413.00390625,0
57405.47265625,57405.47265625,57405.47265625,57405.47265625,57405.47265625,348160
57465.66015625,57465.66015625,57465.66015625,57465.66015625,57465.66015625,15876096
57456.69921875,57456.69921875,57456.69921875,57456.69921875,57456.69921875,41951232
57478.1328125,57478.1328125,57478.1328125,57478.1328125,57478.1328125,1200128
57529.7265625,57529.7265625,57529.7265625,57529.7265625,57529.7265625,65515520
57589.83984375,57589.83984375,57589.83984375,57589.83984375,57589.83984375,28995584
